State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Jhabua,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,34.6,32.1
Madhya Pradesh,Jhabua,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.8,5
Madhya Pradesh,Jhabua,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.8,1.9
Madhya Pradesh,Jhabua,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,8.8,8.4
Madhya Pradesh,Jhabua,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,5.1,4.3
Madhya Pradesh,Jhabua,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.4,7.7
Madhya Pradesh,Jhabua,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0.8,0.9
Madhya Pradesh,Jhabua,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.5,0.5
Madhya Pradesh,Jhabua,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.5,9.6
Madhya Pradesh,Jhabua,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.3,2.2
Madhya Pradesh,Jhabua,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,1.2,1
Madhya Pradesh,Jhabua,Rural,Cervix (%),NA,16.1,18.3
Madhya Pradesh,Jhabua,Rural,Breast (%),NA,10.5,11.3
Madhya Pradesh,Jhabua,Rural,Oral cavity (%),NA,12.2,13.2
Madhya Pradesh,Katni,Rural,Population (female) age 6 years and above who ever attended school (%),NA,64.5,68.4
Madhya Pradesh,Katni,Rural,Population below age 15 years (%),NA,30.7,29.2
Madhya Pradesh,Katni,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,994,996
Madhya Pradesh,Katni,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,"1,223","1,228"
Madhya Pradesh,Katni,Rural,Children under age 5 years whose birth was registered (%),NA,87.9,88.8
Madhya Pradesh,Katni,Rural,Households with electricity (%),NA,78.6,82.3
Madhya Pradesh,Katni,Rural,Households with an improved drinking-water source1 (%),NA,88.4,90.6
Madhya Pradesh,Katni,Rural,Households using improved sanitation facility2 (%),NA,12.8,23.2
Madhya Pradesh,Katni,Rural,Households using clean fuel for cooking3 (%),NA,5.5,18.8
Madhya Pradesh,Katni,Rural,Households using iodized salt (%),NA,75.1,79.3
Madhya Pradesh,Katni,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,16,17.2
Madhya Pradesh,Katni,Rural,Women who are literate (%),NA,60.5,65.2
Madhya Pradesh,Katni,Rural,Men who are literate (%),NA,79.7,80.9
Madhya Pradesh,Katni,Rural,Women with 10 or more years of schooling (%),NA,15,23.4
Madhya Pradesh,Katni,Rural,Women age 20-24 years married before age 18 years (%),NA,29.9,25.5
Madhya Pradesh,Katni,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Katni,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,4.7,4.3
Madhya Pradesh,Katni,Rural,Any method4 (%),NA,47.6,45.7
Madhya Pradesh,Katni,Rural,Any modern method4 (%),NA,46.3,44.3
Madhya Pradesh,Katni,Rural,Female sterilization (%),NA,44,40.8
Madhya Pradesh,Katni,Rural,Male sterilization (%),NA,0.5,0.7
Madhya Pradesh,Katni,Rural,IUD/PPIUD (%),NA,0.2,0.4
Madhya Pradesh,Katni,Rural,Pill (%),NA,0.6,0.6
Madhya Pradesh,Katni,Rural,Condom (%),NA,0.9,1.7
Madhya Pradesh,Katni,Rural,Total unmet need (%),NA,9,9.8
Madhya Pradesh,Katni,Rural,Unmet need for spacing (%),NA,4.4,4.7
Madhya Pradesh,Katni,Rural,Health worker ever talked to female non-users about family planning (%),NA,14.5,13.8
Madhya Pradesh,Katni,Rural,Current users ever told about side effects of current method6 (%),NA,24,22
Madhya Pradesh,Katni,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,35.5,36.6
Madhya Pradesh,Katni,Rural,Mothers who had at least 4 antenatal care visits (%),NA,29.8,32.7
Madhya Pradesh,Katni,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,91.3,90.8
Madhya Pradesh,Katni,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,25.7,29.4
Madhya Pradesh,Katni,Rural,Mothers who had full antenatal care8 (%),NA,8.8,12.4
Madhya Pradesh,Katni,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,88.6,88.9
Madhya Pradesh,Katni,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,56.9,61.3
Madhya Pradesh,Katni,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,57,49
Madhya Pradesh,Katni,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,"1,439","4,229"
Madhya Pradesh,Katni,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,5.8,5.7
Madhya Pradesh,Katni,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,15.9,14.3
Madhya Pradesh,Katni,Rural,Institutional births (%),NA,75.6,78.4
Madhya Pradesh,Katni,Rural,Institutional births in public facility (%),NA,72,68.2
Madhya Pradesh,Katni,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,5.4,4.8
Madhya Pradesh,Katni,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,75.4,75.5
Madhya Pradesh,Katni,Rural,Births delivered by caesarean section (%),NA,3.2,8.4
Madhya Pradesh,Katni,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,69.9
Madhya Pradesh,Katni,Rural,Births in a public health facility delivered by caesarean section (%),NA,0.9,1.9
Madhya Pradesh,Katni,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,45.7,46.7
Madhya Pradesh,Katni,Rural,Children age 12-23 months who have received BCG (%),NA,98.4,97.3
Madhya Pradesh,Katni,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,57.2,57.5
Madhya Pradesh,Katni,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,83.9,83.7
Madhya Pradesh,Katni,Rural,Children age 12-23 months who have received measles vaccine (%),NA,85.8,85.4
Madhya Pradesh,Katni,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,49.5,49.1
Madhya Pradesh,Katni,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,71,69.2
Madhya Pradesh,Katni,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,97.1,97.3
Madhya Pradesh,Katni,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,2.9,2.7
Madhya Pradesh,Katni,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,6.3,6.6
Madhya Pradesh,Katni,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,*,*
Madhya Pradesh,Katni,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,*,*
Madhya Pradesh,Katni,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,*,*
Madhya Pradesh,Katni,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,2.5,2.5
Madhya Pradesh,Katni,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,53.8,55.4
Madhya Pradesh,Katni,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,48,47
Madhya Pradesh,Katni,Rural,Children under age 6 months exclusively breastfed10 (%),NA,72.5,72
Madhya Pradesh,Katni,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Katni,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,16.6,18
Madhya Pradesh,Katni,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Katni,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,16.4,17.5
Madhya Pradesh,Katni,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,48.9,45.5
Madhya Pradesh,Katni,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,23.5,23.8
Madhya Pradesh,Katni,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,12,12.2
Madhya Pradesh,Katni,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,45.5,43.1
Madhya Pradesh,Katni,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,29.4,27.2
Madhya Pradesh,Katni,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,22.1,21.4
Madhya Pradesh,Katni,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,11.1,16
Madhya Pradesh,Katni,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,10,14.7
Madhya Pradesh,Katni,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,67,65.5
Madhya Pradesh,Katni,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,52.8,51.8
Madhya Pradesh,Katni,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,58.7,55.2
Madhya Pradesh,Katni,Rural,All women age 15-49 years who are anaemic (%),NA,53.1,52
Madhya Pradesh,Katni,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,20.7,18.9
Madhya Pradesh,Katni,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,10,9.4
Madhya Pradesh,Katni,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,3.8,3.9
Madhya Pradesh,Katni,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,8.6,8.6
Madhya Pradesh,Katni,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.5,2.4
Madhya Pradesh,Katni,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.4,7.3
Madhya Pradesh,Katni,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.3,1.3
Madhya Pradesh,Katni,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,1.3,1.1
Madhya Pradesh,Katni,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,8.9,10.2
Madhya Pradesh,Katni,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0.9,0.7
Madhya Pradesh,Katni,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,1.5,1.8
Madhya Pradesh,Katni,Rural,Cervix (%),NA,5.2,5.6
Madhya Pradesh,Katni,Rural,Breast (%),NA,8.2,7.8
Madhya Pradesh,Katni,Rural,Oral cavity (%),NA,8,8.8
Madhya Pradesh,Khandwa (East Nimar),Rural,Population (female) age 6 years and above who ever attended school (%),NA,57.3,63.4
Madhya Pradesh,Khandwa (East Nimar),Rural,Population below age 15 years (%),NA,31.7,30.9
Madhya Pradesh,Khandwa (East Nimar),Rural,"Sex ratio of the total population (females per 1,000 males)",NA,922,949
Madhya Pradesh,Khandwa (East Nimar),Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,848,823
Madhya Pradesh,Khandwa (East Nimar),Rural,Children under age 5 years whose birth was registered (%),NA,92.2,93.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Households with electricity (%),NA,88,90.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Households with an improved drinking-water source1 (%),NA,73.4,78.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Households using improved sanitation facility2 (%),NA,23.5,34.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Households using clean fuel for cooking3 (%),NA,13,28
Madhya Pradesh,Khandwa (East Nimar),Rural,Households using iodized salt (%),NA,97.8,98.2
Madhya Pradesh,Khandwa (East Nimar),Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,8.9,10.7
Madhya Pradesh,Khandwa (East Nimar),Rural,Women who are literate (%),NA,44.4,51.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Men who are literate (%),NA,71.8,74
Madhya Pradesh,Khandwa (East Nimar),Rural,Women with 10 or more years of schooling (%),NA,10,16.8
Madhya Pradesh,Khandwa (East Nimar),Rural,Women age 20-24 years married before age 18 years (%),NA,18.8,17.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Khandwa (East Nimar),Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,6.5,6.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Any method4 (%),NA,68.2,67.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Any modern method4 (%),NA,67.9,66.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Female sterilization (%),NA,61.5,58.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Male sterilization (%),NA,0.5,0.4
Madhya Pradesh,Khandwa (East Nimar),Rural,IUD/PPIUD (%),NA,0.3,0.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Pill (%),NA,2.1,2.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Condom (%),NA,3.4,5.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Total unmet need (%),NA,6.7,7.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Unmet need for spacing (%),NA,4.2,4.2
Madhya Pradesh,Khandwa (East Nimar),Rural,Health worker ever talked to female non-users about family planning (%),NA,33.2,30.7
Madhya Pradesh,Khandwa (East Nimar),Rural,Current users ever told about side effects of current method6 (%),NA,64.8,61.5
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who had antenatal check-up in the first trimester (%),NA,70.6,73
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who had at least 4 antenatal care visits (%),NA,45,48.5
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,94.9,95.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,34.8,34.4
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who had full antenatal care8 (%),NA,18.2,19.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,95.9,96.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,51.8,56.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,84.2,81.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,772,753
Madhya Pradesh,Khandwa (East Nimar),Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,0,0
Madhya Pradesh,Khandwa (East Nimar),Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,12.7,16.8
Madhya Pradesh,Khandwa (East Nimar),Rural,Institutional births (%),NA,79.2,81.8
Madhya Pradesh,Khandwa (East Nimar),Rural,Institutional births in public facility (%),NA,76.8,76.4
Madhya Pradesh,Khandwa (East Nimar),Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,0.9,1.2
Madhya Pradesh,Khandwa (East Nimar),Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,79.7,82.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Births delivered by caesarean section (%),NA,7.6,9.7
Madhya Pradesh,Khandwa (East Nimar),Rural,Births in a private health facility delivered by caesarean section (%),NA,*,49.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Births in a public health facility delivered by caesarean section (%),NA,8,9.2
Madhya Pradesh,Khandwa (East Nimar),Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,53.9,58.7
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who have received BCG (%),NA,98.7,98.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,67.3,71
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,71.3,74.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who have received measles vaccine (%),NA,89.9,89.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,62,66.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,74.9,77.8
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,98.7,98.9
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Khandwa (East Nimar),Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,12.8,15
Madhya Pradesh,Khandwa (East Nimar),Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,57.3,63.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,17.5,20.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,64.2,70.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1,1.4
Madhya Pradesh,Khandwa (East Nimar),Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,84.7,85.3
Madhya Pradesh,Khandwa (East Nimar),Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,30,30.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Children under age 6 months exclusively breastfed10 (%),NA,45.5,46.1
Madhya Pradesh,Khandwa (East Nimar),Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,39.4,36
Madhya Pradesh,Khandwa (East Nimar),Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,1.9,3
Madhya Pradesh,Khandwa (East Nimar),Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Khandwa (East Nimar),Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,1.7,2.7
Madhya Pradesh,Khandwa (East Nimar),Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,46.8,43.6
Madhya Pradesh,Khandwa (East Nimar),Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,23.2,21.5
